first_name,last_name,initials,initials_alt,other_names,title,gender,email,organisation,region,position,start_date,end_date,end_reason
Makgathatso Charlotte Chana,Pilane-Majake,M C C,,,,,,National Assembly,Gauteng,Member,2012-01-18,,0
Pakiso David,Mbhele,P D,PD,Pakiso David Poho Mlohele,,,ppoho@parliament.gov.za,National Assembly,Gauteng,Member,,,0
N Y,Vukuza-Linda,N Y,,Vukuza,Ms,,,National Assembly,Gauteng,Member,,2011-07-01,2
Charles Danny,Kekana,C D,,Kekane,,,dkekana@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Sejamotopo Charles,Motau,S C,,,,,smotau@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Nomopo Maggie,Madlala,N M,,,,,nmadlala@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Gratitude,Magwanishe,G,,,,,gmagwanishe@parliament.gov.za,National Assembly,Gauteng,Member,,,0
N M,Magazi,N M,M N,,Ms,,,National Assembly,Gauteng,Member,,2011-11-11,3
George Gaolatlhe,Boinamo,G G,,,,,gboinamo@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Phumelele,Ntshiqela,P,P D,,,,pntshiqela@parliament.gov.za,National Assembly,Gauteng,Member,,,0
B W,Dhlamini,B W,,,Mr,,,National Assembly,Gauteng,Member,,2010-05-04,2
Natasha Wendy Anita,Michael,N W A,,,,,nmichael@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Mzameni Richard,Mdakane,M R,,,,,mmdakane@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Jonas Ben,Sibanyoni,J B,,,,,jsibanyoni@parliament.gov.za,National Assembly,Gauteng,Member,2009-06-23,,0
Emmanuel Musawenkosi,Mlambo,E M,,,,,emlambo@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Anton De Waal,Alberts,A D W,,,,,aalberts@parliament.gov.za,National Assembly,Gauteng,Member,2009-09-01,,0
Winnie,Ngwenya,W,,,,,wngwenya@parliament.gov.za,National Assembly,Gauteng,Member,,,0
O E,Monareng,O E,,,Mr,,,National Assembly,Gauteng,Member,,2009-06-08,2
Poppy Audrey,Mocumi,P A,,,,,pmocumi@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Elizabeth,Thabethe,E,,,,,,National Assembly,Gauteng,Member,,,0
Juliana Danielle,Kilian,J D,,,,,jkilian@parliament.gov.za,National Assembly,Gauteng,Member,,,0
W D,Spies,W D,,,Mr,,,National Assembly,Gauteng,Member,,2009-09-01,2
Kopeng Obed,Bapela,K O,,,,,obapela@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Ian Ormiston,Davidson,I O,,,,,idavidson@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Holmes Peter,Maluleka,H P,,,,,hmaluleka@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Dikeledi Rebecca,Tsotetsi,D R,,,,,dtsotetsi@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Bantubonke Harrington,Holomisa,B H,,,,,bholomisa@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Marta,Wenger,M,,,,,mwenger@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Kenneth Sililo,Mubu,K S,,,,,kmubu@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Sophia Theresa,Williams-De Bruyn,S T,,,,,sdebruyn@parliament.gov.za,National Assembly,Gauteng,Member,2010-11-09,,0
Muntu Doreen,Nxumalo,M D,,,,,mnxumalo@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Nicolaas Jacobus,Van den Berg,N J,,Van Der Berg,,,nvandenberg@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Emmanuel,Magubane,E,,,,,,National Assembly,KwaZulu-Natal,Member,2010-07-21,,0
Narend,Singh,N,,,,,nsingh@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Gregory Rudy,Krumbock,G R,,,,,gkrumbock@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Mohammed Rafeek,Sayedali Shah,M R,,,,,,National Assembly,KwaZulu-Natal,Member,2012-02-01,,0
Hlengiwe Christophina,Mgabadeli,H C,H C O,,,,hmgabadeli@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
M E,Mbili,M E,,,Mr,,,National Assembly,KwaZulu-Natal,Member,,2012-07-10,3
Barbara,Thomson,B,,,,,bthomson@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Zwelifile Christopher,Ntuli,Z C,,,,,zntuli@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
A N,Luthuli,A N,,,Dr,,,National Assembly,KwaZulu-Natal,Member,,2011-05-01,2
Lindiwe Ntombikayise,Mjobo,L N,,,,,lmjobo@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Phumzile,Bhengu,P,,,,,pbhengu@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Lindiwe Desiré,Mazibuko,L D,,,,,lmazibuko@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
T J,Bonhomme,T J,,,Mr,,,National Assembly,KwaZulu-Natal,Member,,2010-05-19,2
Nomfundo Ntombenhle Penelope,Mkhulusi,N N P,,,,,nmkhulusi@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Arthur Roy,Ainslie,A R,,,,,aainslie@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Mosie Antony,Cele,M A,,,,,mcele@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,2010-07-21,,0
Trevor,Bonhomme,T,,,,,,National Assembly,KwaZulu-Natal,Member,2011-10-28,,0
K M,Zondi,K M,,,Mr,,,National Assembly,KwaZulu-Natal,Member,,2012-02-01,2
Enock Muzi,Mthethwa,E M,,,,,emthethwa@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Mkhuleko,Hlengwa,M,,,,,,National Assembly,KwaZulu-Natal,Member,2012-05-07,,0
John Harold,Jeffery,J H,,,,,jjeffery@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Zephroma Sizani,Dubazana,Z S,,,,,zdubazana@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Nomalungelo,Gina,N,,,,,ngina@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Cheryllyn,Dudley,C,,,,,cdudley@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Shiaan-Bin,Huang,S,S-B,,,,shuang@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Jabu Elsie,Sosibo,J E,,,,,jsosibo@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
M H,Steele,M H,,,Mr,,,National Assembly,KwaZulu-Natal,Member,,2011-07-19,2
John Henry,Steenhuisen,J H,,,,,jhsteenhuisen@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,2011-07-19,,0
Beatrice Thembekile,Ngcobo,B T,,,,,bngcobo@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Luwellyn Tyrone,Landers,L T,,,,,llanders@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Gareth Richard,Morgan,G R,,,,,gmorgan@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,2013-02-04,2
Gloria Mary,Borman,G M,,,,,gborman@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
L N,Mkhize,L N,,,Mr,,,National Assembly,KwaZulu-Natal,Member,,2010-05-19,2
Lindumusa Bekizitha Gabriel,Ndabandaba,L B G,,,,,lndabandaba@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Eric James,Lucas,E J,,,,,elucas@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,2013-01-15,2
Fikile Eunice,Khumalo,F E,,,,,fkhumalo@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Russel Nsikayezwe,Cebekhulu,R N,R S,,,,rcebekhulu@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Francois Adrianus,Rodgers,,,,Mr,,,National Assembly,KwaZulu-Natal,Member,2013-03-14,,0
Alfred Mkhipheni,Mpontshane,A M,,,,,ampontshane@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Ndabakayise Erasmus,Gcwabaza,N E,,,,,ngcwabaza@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Velaphi Bethuel,Ndlovu,V B,,,,,vndlovu@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Bongekile Jabulile,Dlomo,B J,,,,,,National Assembly,KwaZulu-Natal,Member,2013-09-07,,0
Sibongile Judith,Nkobo,,,,Ms,,,National Assembly,KwaZulu-Natal,Member,2013-05-21,,0
Dianne,Kohler-Barnard,D,,Kohler-Banard,,,dkohler-barnard@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Hilda Sizakele,Msweli,H S,,,,,hmsweli@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Peter Francis,Smith,P F,,,,,psmith@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Dudu,Sibiya,D,,,,,,National Assembly,KwaZulu-Natal,Member,2011-09-20,,0
M J,Ellis,M J,,,Mr,,,National Assembly,KwaZulu-Natal,Member,,2011-09-24,2
Bhekizizwe Zeblon,Zulu,B Z,,,,,bzulu@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Graham Peter Dalziel,Mac Kenzie,G P D,G D,Mackenzie,,,gmackenzie@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Donald Mlindwa,Gumede,D M,,,,,dgumede@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Mohammed Haniff,Hoosen,M H,,,,,mhoosen@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Santosh Vinita,Kalyan,S V,,,,,skalyan@parliament.gov.za,National Assembly,KwaZulu-Natal,Member,,,0
Divili Wilson,Mavunda,D W,,,,,dmavunda@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Maropeng Elizabeth,Pilusa-Mosoane,M E,,,,,mpilusa-mosoane@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Malusi Stanley,Motimele,M S,,,,,mmotimele@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Modjadji Sarah,Mangena,M S,,,,,momangena@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Dudu Hellen,Mathebe,D H,,,,,dmathebe@parliament.gov.za,National Assembly,Limpopo,Member,,,0
T S,Farisani,T S,,,Dr,,,National Assembly,Limpopo,Member,,2010-09-30,2
M M A,Nyama,M M A,,,Ms,,,National Assembly,Limpopo,Member,,2010-05-16,2
Nomvula Frieda,Mathibela,N F,,,,,nmathibela@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Mamagase Elleck,Nchabeleng,M E,,,,,mnchabeleng@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Frans Tlokwe,Maserumule,F T,,,,,,National Assembly,Limpopo,Member,2010-07-29,,0
Jacobus Frederik,Smalle,J F,,,,,,National Assembly,Limpopo,Member,2010-09-10,,0
Letsau Nelson,Diale,L N,,,,,ldiale@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Manana Catherine,Mabuza,M C,,,,,mmabuza@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Agnes Christin,Mashishi,A C,,,,,amashishi@parliament.gov.za,National Assembly,Limpopo,Member,,,0
D,van der Walt,D,,,Ms,,,National Assembly,Limpopo,Member,,2010-09-10,2
Azwihangwisi Faith,Muthambi,A F,,,,,amuthambi@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Zondi Silence,Makhubele,Z S,,,,,zmakhubele@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Jerome Joseph,Maake,J J,,,,,jmaake@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Mpowele Mexan,Swathe,M M,,,,,mswathe@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Dalitha Fiki,Boshigo,D F,,,,,dboshigo@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Tinyiko Lwandlamuni Phillia,Nwamitwa-Shilubana,T L P,,N'wamitwa-Shilubana,,,,National Assembly,Limpopo,Member,2010-10-08,,0
William Mothipa,Madisha,W M,,,,,wmadisha@parliament.gov.za,National Assembly,Limpopo,Member,,,0
Lydia Sindisiwe,Chikunga,L S,,,,,lchikunga@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
S J,Masango,S J,,,Mr,,,National Assembly,Mpumalanga,Member,,2011-11-08,2
Sikhumbuzo Eric,Kholwane,S E,,,,,skholwane@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Jabhile Pretty,Ngubeni-Maluleka,J P,,,,,,National Assembly,Mpumalanga,Member,2012-06-13,,0
Goodwill Sbusiso,Radebe,G S,,,,,gradebe@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
James Jim,Skosana,J J,,,,,jskosana@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Grace Kekulu,Tseke,G K,,,,,gtseke@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Dumisile Goodness,Nhlengethwa,D G,,,,,dnhlengethwa@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Vuselelo Vincent,Magagula,V V,,,,,vmagagula@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Adrian John,Williams,A J,,,,,awilliams@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Lourens Lemmer,Bosman,L L,,,,,lbosman@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Mduduzi Comfort,Manana,M C,,,,,mdmanana@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Raesibe Eunice,Nyalungu,R E,,,,,rnyalungu@parliament.gov.za,National Assembly,Mpumalanga,Member,2009-04-29,,0
Christopher Lancaster,Gololo,C L,,,,,cgololo@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
K N,Shoba,K N,,,Ms,,,National Assembly,Mpumalanga,Member,,2009-05-09,3
Thapelo Dorothy,Chiloane,T D,,,,,tchiloane@parliament.gov.za,National Assembly,Mpumalanga,Member,2009-05-21,,0
Nokhaya Adelaide,Mnisi,N A,,,,,nmnisi@parliament.gov.za,National Assembly,Mpumalanga,Member,,,0
Armiston,Watson,A,,,,,awatson@parliament.gov.za,National Assembly,Mpumalanga,Member,2011-11-08,,0
N F,Nyanda,N F,M F,,Ms,,,National Assembly,Mpumalanga,Member,,2012-05-05,3
M N,Matladi,M N,,,Ms,,,National Assembly,National,Member,2009-04-29,2011-12-02,3
Cornelius Petrus,Mulder,C P,,,,,cmulder@parliament.gov.za,National Assembly,National,Member,,,0
B P,Sonjica,B P,,,Ms,,,National Assembly,National,Member,,2010-11-01,2
Chun-Chiao,Huang,C,,,,,,National Assembly,National,Member,2012-04-19,,0
Hendrietta Ipeleng,Bogopane-Zulu,H I,,,,,hbogopane@parliament.gov.za,National Assembly,National,Member,,,0
Jerry Dimotana,Thibedi,J D,,,,,jthibedi@parliament.gov.za,National Assembly,National,Member,2010-08-19,,0
Stanley Zoyisile,Ntapane,S Z,,,,,sntapane@parliament.gov.za,National Assembly,National,Member,,,0
Graham Brian Douglas,Mc Intosh,G B D,,McIntosh Mc lntosh,,,gmcintosh@parliament.gov.za,National Assembly,National,Member,2011-05-26,,0
Helen,Line-Hendriks,H,,Line-Hendriks,,,hline@parliament.gov.za,National Assembly,National,Member,,,0
M A,Mangena,M A,,,Mr,,,National Assembly,National,Member,,2010-05-01,2
Dudu Olive,Chili,D O,,,,,,National Assembly,National,Member,2012-07-18,,0
Eugene Nhlanhla Nqaba,Ngcobo,E N N,,,,,engcobo@parliament.gov.za,National Assembly,National,Member,,,0
Celiwe Qhamkile,Madlopha,C Q,,,,,cmadlopha@parliament.gov.za,National Assembly,National,Member,2010-11-17,,0
Jacob Gedleyihlekisa,Zuma,J G,,,Mr,M,,National Assembly,National,Member,2009-05-06,2009-05-06,5
Susan Comber,Van der Merwe,S C,,,,,svandermerwe@parliament.gov.za,National Assembly,National,Member,,,0
Shepherd Malusi,Mayatula,S M,,,,,,National Assembly,National,Member,2012-02-07,,0
Max Vuyisile,Sisulu,M V,,,,,speaker@parliament.gov.za,National Assembly,National,Member,,,0
Foni Florence,Mushwana,F F,,,,,fmushwana@parliament.gov.za,National Assembly,National,Member,,,0
AnnelizÃƒÂ©,van Wyk,A,,,,,anvanwyk@parliament.gov.za,National Assembly,National,Member,2009-08-05,,0
Mnyamezeli Shedrack,Booi,M S,,,,,mbooi@parliament.gov.za,National Assembly,National,Member,,,0
Hildagrade Nikiwe,Ndude,H N,,,,,hndude@parliament.gov.za,National Assembly,National,Member,,2012-04-15,4
Ntopile Marcel,Kganyago,N M,,,,,nkganyago@parliament.gov.za,National Assembly,National,Member,,,0
Rebecca Mmakosha,Motsepe,R M,,,,,mmotsepe@parliament.gov.za,National Assembly,National,Member,2011-01-26,,0
Mangosuthu Gatsha,Buthelezi,M G,,,,,mbuthelezi@parliament.gov.za,National Assembly,National,Member,,,0
Nosiviwe Noluthando,Mapisa-Nqakula,N N,,,,,,National Assembly,National,Member,,,0
Nombuyiselo Joyce,Ngele,N J,,,,,nngele@parliament.gov.za,National Assembly,National,Member,,,0
C,Nqakula,C,,,Mr,,,National Assembly,National,Member,,2009-06-01,2
Liezl Linda,van der Merwe,L L,,,,,,National Assembly,National,Member,2012-05-07,,0
N A,Mayende-Sibiya,N A,,,Ms,,,National Assembly,National,Member,,2011-02-09,2
Refilwe Modikanalo,Mashigo,R M,R J,,,,rmashigo@parliament.gov.za,National Assembly,National,Member,,,0
Mathole Serofo,Motshekga,M S,,,,,mmotshekga@parliament.gov.za,National Assembly,National,Member,,,0
Deidre,Carter,D,,,,,dcarter@parliament.gov.za,National Assembly,National,Member,,,0
Gaolatlhe Godfrey,Oliphant,G G,,,,,goliphant@parliament.gov.za,National Assembly,National,Member,2009-08-05,,0
Ntombikayise Nomawisile,Sibhida,N N,,Sibhidla,,,nsibhida@parliament.gov.za,National Assembly,National,Member,,2011-10-28,0
Z L,Madasa,Z L,,,Mr,,,National Assembly,National,Member,2009-06-13,2010-09-01,2
Elsie Mmathulare,Coleman,E M,,,,,ecoleman@parliament.gov.za,National Assembly,National,Member,,,0
Bomo Edna Edith,Molewa,B E E,,,,,,National Assembly,National,Member,,,0
H M,Dandala,H M,,,Rev,,,National Assembly,National,Member,,2010-07-15,2
Royith Baloo,Bhoola,R B,,,,,rbhoola@parliament.gov.za,National Assembly,National,Member,,,0
Lusizo Sharon,Makhubela-Mashele,L S,,,,,lmakhubela-mashele@parliament.gov.za,National Assembly,National,Member,,,0
Bathabile Olive,Dlamini,B O,,,,,,National Assembly,National,Member,,,0
T J,Tshivhase,T J,,,Ms,,,National Assembly,National,Member,,2011-01-01,2
L M,Odendaal,L M,,,Ms,,,National Assembly,National,Member,,2009-07-07,2
Letlapa Moroatshoge,Mphahlele,L M,,,,,lmphahlele@parliament.gov.za,National Assembly,National,Member,,,0
Zisiwe Beauty Nosimo,Balindlela,Z B N,,,,,zbalindlela@parliament.gov.za,National Assembly,National,Member,,2012-11-13,2
Phumuzile Catherine,Ngwenya-Mabila,P C,,,,,pngwenya-mabila@parliament.gov.za,National Assembly,National,Member,,,0
L B,Hendricks,L B,,,Ms,,,National Assembly,National,Member,,2009-08-05,2
Siyabonga Cyprian,Cwele,S C,,,,,,National Assembly,National,Member,,,0
Fatima,Hajaig,F,,,,,fhajaig@parliament.gov.za,National Assembly,National,Member,,,0
Koena Arthur,Moloto,K A,,,,,kmoloto@parliament.gov.za,National Assembly,National,Member,2010-11-09,,0
Sampson Phathakge,Makwetla,S P,,,,,,National Assembly,National,Member,,,0
Alexia Zintle,Ndlazi,A Z,,Ndlanzi,,,zndlazi@parliament.gov.za,National Assembly,National,Member,2010-10-18,,0
Tokyo Mosima Gabriel,Sexwale,T M G,,,,,,National Assembly,National,Member,,,0
Christian Themba,Msimang,C T,,,,,cmsimang@parliament.gov.za,National Assembly,National,Member,,,0
H K,Ditshetelo,H K,,,Mr,,,National Assembly,National,Member,,2009-04-28,2
Mario Gaspare,Oriani-Ambrosini,M G,,,,,moriani-ambrosini@parliament.gov.za,National Assembly,National,Member,,,0
Mohamed Enver,Surty,M E,,,,,,National Assembly,National,Member,,,0
Ngoako Abel,Ramatlhodi,N A,,,,,nramatlhodi@parliament.gov.za,National Assembly,National,Member,,,0
Vincent George,Smith,V G,,,,,vsmith@parliament.gov.za,National Assembly,National,Member,2009-04-29,,0
Lulama Marytheresa,Xingwana,L M,,,,,,National Assembly,National,Member,,,0
Alina,Mfulo,A,,,,,,National Assembly,National,Member,2012-06-15,,0
Suzan Roseline,Berend,,,,Ms,,,National Assembly,National,Member,2013-03-12,,0
Sarah Unes,Paulse,S U,,,,,spaulse@parliament.gov.za,National Assembly,National,Member,2010-09-10,,0
Luzelle Henrietta,Adams,L H,,,,,ladams@parliament.gov.za,National Assembly,National,Member,,,0
G L,Mahlangu-Nkabinde,G L,,,Ms,,,National Assembly,National,Member,,2011-10-24,2
Robert Haydn,Davies,R H,,,,,,National Assembly,National,Member,,,0
Constance Ntombikayise Zerish,Zikalala,C N Z,,,,,czikalala@parliament.gov.za,National Assembly,National,Member,,,0
S,Shiceka,S,,,Mr,,,National Assembly,National,Member,,2012-04-30,3
Benjamin,Turok,B,,,,,bturok@parliament.gov.za,National Assembly,National,Member,,,0
Helen Flora,Matlanyane,H F,,,,,hmatlanyane@parliament.gov.za,National Assembly,National,Member,,,0
Eric,Mtshali,E,,,,,emtshali@parliament.gov.za,National Assembly,National,Member,,,0
Mathume Joseph,Phaahla,M J,,Phaahia,,,,National Assembly,National,Member,,,0
Sango Patekile,Holomisa,S P,,,,,sholomisa@parliament.gov.za,National Assembly,National,Member,,,0
L J,Tolo,L J,,,Mr,,,National Assembly,National,Member,,2011-08-22,3
S M,Pillay,S M,,,Dr,,,National Assembly,National,Member,,2010-02-01,2
Patricia,de Lille,P,,,,,,National Assembly,National,Member,,2010-09-10,0
Mlungisi,Johnson,M,,,,,mjohnson@parliament.gov.za,National Assembly,National,Member,,,0
Thembelani Waltermade,Nxesi,T W,,,,,,National Assembly,National,Member,,,0
Kenneth Raselabe Joseph,Meshoe,K R J,,,,,kmeshoe@parliament.gov.za,National Assembly,National,Member,,,0
Nomzamo Winfred,Madikizela-Mandela,N W,,,,,nmadikizela-mandela@parliament.gov.za,National Assembly,National,Member,,,0
E,Godongwana,E,,,Mr,,,National Assembly,National,Member,,2011-12-31,2
Gelana Sarian,Sindane,G S,,,,,,National Assembly,National,Member,2012-02-07,,0
Cecilia Mampe Papadi,Kotsi,C M P,,,,,ckotsi@parliament.gov.za,National Assembly,National,Member,,,0
Thabadiawa Alfred,Mufamadi,T A,,,,,tmufamadi@parliament.gov.za,National Assembly,National,Member,,,0
David Douglas,Van Rooyen,D D,,,,,dvanrooyen@parliament.gov.za,National Assembly,National,Member,2009-07-27,,0
G Q M,Doidge,G Q M,,,Mr,,,National Assembly,National,Member,,2010-11-01,2
Nomathemba Theresia,November,N T,,,,,nnovember@parliament.gov.za,National Assembly,National,Member,,,0
Regina Mina Mpontseng,Lesoma,R M M,,,,,,National Assembly,National,Member,2012-02-07,,0
Fezile,Bhengu,F,,,,,,National Assembly,National,Member,2011-10-19,,0
Gertroedh,Saal,G,,,,,gsaal@parliament.gov.za,National Assembly,National,Member,,,0
Tozamile,Botha,T,,,,,tbotha@parliament.gov.za,National Assembly,National,Member,,,0
Isaac Sipho,Mfundisi,I S,,,,,,National Assembly,National,Member,2012-01-25,,0
Nompendlko Doris,Ngcengwane,N D,,,,,dngcengwane@parliament.gov.za,National Assembly,National,Member,2009-06-29,,0
Tshililo Michael,Masutha,T M,,,,,mmasutha@parliament.gov.za,National Assembly,National,Member,,,0
Ohm Collins,Chabane,O C,,,,,,National Assembly,National,Member,,,0
Lindiwe Nonceba,Sisulu,L N,,,,,,National Assembly,National,Member,,,0
Mmamoloko Tryphosa,Kubayi,M T,,,,,mmkubayi@parliament.gov.za,National Assembly,National,Member,,,0
Pieter Willem Adriaan,Mulder,P W A,,,,,pmulder@parliament.gov.za,National Assembly,National,Member,,,0
Marthinus Christoffel Johannes,Van Schalkwyk,M C J,,,,,,National Assembly,National,Member,,,0
Mankwana Christinah,Mohale,M C,,,,,mmohale@parliament.gov.za,National Assembly,National,Member,,,0
B A,Hogan,B A,,,Ns,,,National Assembly,National,Member,,2010-11-01,2
Setlamorago Godfrey,Thobejane,S G,,,,,sthobejane@parliament.gov.za,National Assembly,National,Member,,,0
A,Mda,A,,,Ms,,,National Assembly,National,Member,,2011-05-11,2
Tshiwela Elida,Lishivha,T E,,,,,tlishivha@parliament.gov.za,National Assembly,National,Member,2009-05-12,,0
Nomfunelo Rose-Mary,Mabedla,N R,,,,,nmabedla@parliament.gov.za,National Assembly,National,Member,,,0
Dumsani Livingstone,Ximbi,X,D L,Ximbi,,,,National Assembly,National,Member,2011-10-19,,0
Kgalema Petrus,Motlanthe,K P,,,,,,National Assembly,National,Member,,,0
Cecil Valentine,Burgess,C V,,,,,cburgess@parliament.gov.za,National Assembly,National,Member,,,0
Trevor Andrew,Manuel,T A,,,,,,National Assembly,National,Member,,,0
Piet Mohlamme,Mathebe,P M,,,,,pmathebe@parliament.gov.za,National Assembly,National,Member,,2012-10-01,2
Pearl,Maduna,P,,Petersen-Maduna,,,pmaduna@parliament.gov.za,National Assembly,National,Member,,,0
Ebrahim Ismail,Ebrahim,E I,,,,,,National Assembly,National,Member,,,0
Jacobus Hercules,Van der Merwe,J H,,,,,jvandermerwe@parliament.gov.za,National Assembly,National,Member,,,0
Sheila Coleen Nkhensani,Sithole,S C N,,,,,shsithole@parliament.gov.za,National Assembly,National,Member,,,0
Koti Jacob,Dikobo,K J,,,,,jdikobo@parliament.gov.za,National Assembly,National,Member,2010-05-01,,0
Bulelwa,Tinto,B,,,,,btinto@parliament.gov.za,National Assembly,National,Member,,,0
Bongi Maria,Ntuli,B M,,,,,,National Assembly,National,Member,,,0
Andries Carl,Nel,A C,,,,,Andries.Nel@parliament.gov.za,National Assembly,National,Member,,,0
Lorraine Mmakgosi,Mashiane,L M,,,,,lmashiane@parliament.gov.za,National Assembly,National,Member,,,0
Judith,Tshabalala,J,,,,,,National Assembly,National,Member,2011-10-19,,0
Matsie Angelina,Motshekga,M A,,,,,,National Assembly,National,Member,,,0
Yunus Ismail,Carrim,Y I,Y l,,,,ycarrim@parliament.gov.za,National Assembly,National,Member,,,0
Hlengiwe Buhle,Mkhize,H B,,,,,,National Assembly,National,Member,,,0
Petrus Johannes,Groenewald,P J,,,,,pgroenewald@parliament.gov.za,National Assembly,National,Member,,,0
Lulama Smuts,Ngonyama,L S,,,,,lngonyama@parliament.gov.za,National Assembly,National,Member,,,0
M B M,Mpahlwa,M B M,,,Mr,,,National Assembly,National,Member,,2009-06-01,2
Maapi Angelina,Molebatsi,M A,,,,,mmolebatsi@parliament.gov.za,National Assembly,National,Member,,,0
Nozabelo Ruth,Bhengu,N R,,,,,nbhengu@parliament.gov.za,National Assembly,National,Member,,,0
Alpheus Mokabhe,Maziya,A M,M,,,,amaziya@parliament.gov.za,National Assembly,National,Member,2009-11-26,,0
Dorries Eunice,Dlakude,D E,,Dlakudla,,,ddlakude@parliament.gov.za,National Assembly,National,Member,2010-02-09,,0
Thandi Vivian,Tobias,T V,,,,,ttobias-pokolo@parliament.gov.za,National Assembly,National,Member,,,0
M S,Shilowa,M S,,,Mr,,,National Assembly,National,Member,,2011-02-09,4
Nhlanhla Musa,Nene,N M,,,,,,National Assembly,National,Member,,,0
B M,Balfour,B M,,,Mr,,,National Assembly,National,Member,,2009-08-01,2
Pakishe Aaron,Motsoaledi,P A,,,,,,National Assembly,National,Member,,,0
